,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,9,24,-0.45454544077135034,0.23076922915545994,9.55,0.41361256544502617,3.985445026178011,9.55,79,182,2.3842105263157896,5,6.587912087912088
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,27,22,0.10204081424406503,0.19678714780406767,11.03448275862069,0.278125,4.525043103448276,11.03448275862069,89,318,2.1293375394321767,36,5.880503144654088
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,6,2,0.4999999375000079,0.11764705709342564,9.555555555555555,0.4883720930232558,4.017571059431525,9.555555555555555,42,85,2.4352941176470586,1,6.435294117647059
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,62,18,0.5499999931250001,0.11111111095679012,10.779220779220779,0.4819277108433735,4.504459396025662,10.779220779220779,400,827,2.660516605166052,9,6.987908101571946
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,16,35,-0.37254901230296056,0.11670480522493179,10.24,0.44921875,4.2756875,10.24,230,508,2.574468085106383,6,6.604330708661418
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,10,38,-0.5833333211805558,0.12276214802362623,10.853658536585366,0.40898876404494383,4.505058920252124,10.853658536585366,182,445,2.4019607843137254,0,6.370786516853933
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,26,63,-0.4157303324075244,0.11588541651577419,14.19672131147541,0.5565819861431871,5.901321319047439,14.19672131147541,482,866,2.7142857142857144,0,7.178983833718245
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,34,3,0.8378378151935726,0.12585033970799203,8.046511627906977,0.5289017341040463,3.4301653448044096,8.046511627906977,183,346,2.5823529411764707,3,7.043352601156069
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,20,19,0.025641024983563465,0.07926829252181242,9.09375,0.5,3.8375000000000004,9.09375,291,578,2.642233856893543,6,7.197231833910035
10,47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,14,6,0.399999980000001,0.059347180832797684,9.868421052631579,0.5706666666666667,4.175635087719298,9.868421052631579,214,375,2.7560975609756095,0,7.762666666666667
11,48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,50,15,0.538461530177515,0.08135168951019814,15.210526315789474,0.5121107266435986,6.28905481697323,15.210526315789474,444,865,2.6745562130177514,2,7.171098265895954
12,49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,32,12,0.4545454442148763,0.08148148133058986,11.803921568627452,0.4850498338870432,4.915588561005798,11.803921568627452,292,602,2.5928449744463373,1,6.98172757475083
13,50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,4,2,0.33333327777778704,0.08571428448979594,7.888888888888889,0.30985915492957744,3.279499217527387,7.888888888888889,22,71,2.377049180327869,0,6.126760563380282
14,51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,22,19,0.07317072992266513,0.12732919215115157,16.045454545454547,0.5835694050991501,6.651609580221479,16.045454545454547,206,353,2.792507204610951,0,7.484419263456091
15,52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,49,-0.27272726918536017,0.17579908635662309,14.787878787878787,0.4959016393442623,6.11351217088922,14.787878787878787,242,488,2.600840336134454,3,7.155737704918033
16,53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,30,26,0.07142857015306125,0.09286898823736486,10.214285714285714,0.43916083916083914,4.261378621378621,10.214285714285714,314,714,2.5224963715529753,6,6.518207282913165
